Column|suffix|Analysis_Column|OriginalColumn|Format|QuestionText|dtcode
q104_5_apac|_apac|q104_5|q104_5|CURRENCY|APAC: Government institutions - Funds of funds|14_26
q104_6_apac|_apac|q104_6|q104_6|CURRENCY|APAC: Government institutions - Non-listed debt products|14_27
q10ROW4_Total_apac|_apac|q10ROW4_hidden|q10ROW4_Total|CURRENCY|APAC: Government institutions - TOTAL|14_28
q105_1_apac|_apac|q105_1|q105_1|CURRENCY|APAC: Charities, foundations, non-profit organisations - Non-listed/ commingled real estate funds/private REITs|14_29
q105_2_apac|_apac|q105_2|q105_2|CURRENCY|APAC: Charities, foundations, non-profit organisations - Separate accounts investing directly into real estate|14_30
q105_3_apac|_apac|q105_3|q105_3|CURRENCY|APAC: Charities, foundations, non-profit organisations - Separate accounts investing into indirect vehicles|14_31
q105_4_apac|_apac|q105_4|q105_4|CURRENCY|APAC: Charities, foundations, non-profit organisations - Joint ventures and club deals|14_32
q105_5_apac|_apac|q105_5|q105_5|CURRENCY|APAC: Charities, foundations, non-profit organisations - Funds of funds|14_33
q105_6_apac|_apac|q105_6|q105_6|CURRENCY|APAC: Charities, foundations, non-profit organisations - Non-listed debt products|14_34
q10ROW5_Total_apac|_apac|q10ROW5_hidden_APAC|q10ROW5_Total|CURRENCY|APAC: Charities, foundations, non-profit organisations - TOTAL|14_35
q106_1_apac|_apac|q106_1|q106_1|CURRENCY|APAC: Funds of funds - Non-listed/ commingled real estate funds/private REITs|14_36
q106_2_apac|_apac|q106_2|q106_2|CURRENCY|APAC: Funds of funds - Separate accounts investing directly into real estate|14_37
q106_3_apac|_apac|q106_3|q106_3|CURRENCY|APAC: Funds of funds - Separate accounts investing into indirect vehicles|14_38
q106_4_apac|_apac|q106_4|q106_4|CURRENCY|APAC: Funds of funds - Joint ventures and club deals|14_39
q106_5_apac|_apac|q106_5|q106_5|CURRENCY|APAC: Funds of funds - Funds of funds|14_40
q106_6_apac|_apac|q106_6|q106_6|CURRENCY|APAC: Funds of funds - Non-listed debt products|14_41
q10ROW6_Total_apac|_apac|q10ROW6_hidden_APAC|q10ROW6_Total|CURRENCY|APAC: Funds of funds - TOTAL|14_42
q107_1_apac|_apac|q107_1|q107_1|CURRENCY|APAC: High net worth individuals /Family offices - Non-listed/ commingled real estate funds/private REITs|14_43
q107_2_apac|_apac|q107_2|q107_2|CURRENCY|APAC: High net worth individuals /Family offices - Separate accounts investing directly into real estate|14_44
q107_3_apac|_apac|q107_3|q107_3|CURRENCY|APAC: High net worth individuals /Family offices - Separate accounts investing into indirect vehicles|14_45
q107_4_apac|_apac|q107_4|q107_4|CURRENCY|APAC: High net worth individuals /Family offices - Joint ventures and club deals|14_46
q107_5_apac|_apac|q107_5|q107_5|CURRENCY|APAC: High net worth individuals /Family offices - Funds of funds|14_47
q107_6_apac|_apac|q107_6|q107_6|CURRENCY|APAC: High net worth individuals /Family offices - Non-listed debt products|14_48
q10ROW7_Total_apac|_apac|q10ROW7_hidden|q10ROW7_Total|CURRENCY|APAC: High net worth individuals /Family offices - TOTAL|14_49
q10other_apac|_apac|q10other_APAC|q10other|TEXT|APAC: Other investor type (Other)|14_50
q108_1_apac|_apac|q108_1|q108_1|CURRENCY|APAC: Other - Non-listed/ commingled real estate funds/private REITs|14_51
q108_2_apac|_apac|q108_2|q108_2|CURRENCY|APAC: Other - Separate accounts investing directly into real estate|14_52
q108_3_apac|_apac|q108_3|q108_3|CURRENCY|APAC: Other - Separate accounts investing into indirect vehicles|14_53
q108_4_apac|_apac|q108_4|q108_4|CURRENCY|APAC: Other - Joint ventures and club deals|14_54
q108_5_apac|_apac|q108_5|q108_5|CURRENCY|APAC: Other - Funds of funds|14_55
q108_6_apac|_apac|q108_6|q108_6|CURRENCY|APAC: Other - Non-listed debt products|14_56
q10ROW8_Total_apac|_apac|q10ROW8_hidden_APAC|q10ROW8_Total|CURRENCY|APAC: Other - TOTAL|14_57
q10COL1_Total_apac|_apac|q10COL1_hidden_APAC|q10COL1_Total|CURRENCY|APAC TOTAL - Non-listed/ commingled real estate funds/private REITs|14_58
q10COL2_Total_apac|_apac|q10COL2_hidden_APAC|q10COL2_Total|CURRENCY|APAC TOTAL - Separate accounts investing directly into real estate|14_59
q10COL3_Total_apac|_apac|q10COL3_hidden_APAC|q10COL3_Total|CURRENCY|APAC TOTAL - Separate accounts investing into indirect vehicles|14_60
q10COL4_Total_apac|_apac|q10COL4_hidden_APAC|q10COL4_Total|CURRENCY|APAC TOTAL - Joint ventures and club deals|14_61
q10COL5_Total_apac|_apac|q10COL5_hidden_APAC|q10COL5_Total|CURRENCY|APAC TOTAL - Funds of funds|14_62
q10COL6_Total_apac|_apac|q10COL6_hidden_APAC|q10COL6_Total|CURRENCY|APAC TOTAL - Non-listed debt products|14_63
q10GRANDTotal_apac|_apac|q10GRANDTotal_hidden_APAC|q10GRANDTotal|CURRENCY|APAC TOTAL Capital Raised in 2020 for your Asia Pacific strategy by investor type|14_64
_apac|_apac||||For your Asia Pacific strategy*, how much institutional capital did your company raise for non-listed vehicles in 2020 by investor domicile (million)?|15
q111_1_apac|_apac|q111_1|q111_1|CURRENCY|APAC: Asia Pacific - Non-listed/ commingled real estate funds/private REITs|15_1
q111_2_apac|_apac|q111_2|q111_2|CURRENCY|APAC: Asia Pacific - Separate accounts investing directly into real estate|15_2
q111_3_apac|_apac|q111_3|q111_3|CURRENCY|APAC: Asia Pacific - Separate accounts investing into indirect vehicles|15_3
q111_4_apac|_apac|q111_4|q111_4|CURRENCY|APAC: Asia Pacific - Joint ventures and club deals|15_4
q111_5_apac|_apac|q111_5|q111_5|CURRENCY|APAC: Asia Pacific - Funds of funds|15_5
q111_6_apac|_apac|q111_6|q111_6|CURRENCY|APAC: Asia Pacific - Non-listed debt products|15_6
q11ROW1_Total_apac|_apac|q11ROW1_hidden_APAC|q11ROW1_Total|CURRENCY|APAC: Asia Pacific - TOTAL|15_7
q112_1_apac|_apac|q112_1|q112_1|CURRENCY|APAC: Europe - Non-listed/ commingled real estate funds/private REITs|15_8
q112_2_apac|_apac|q112_2|q112_2|CURRENCY|APAC: Europe - Separate accounts investing directly into real estate|15_9
q112_3_apac|_apac|q112_3|q112_3|CURRENCY|APAC: Europe - Separate accounts investing into indirect vehicles|15_10
q112_4_apac|_apac|q112_4|q112_4|CURRENCY|APAC: Europe - Joint ventures and club deals|15_11
q112_5_apac|_apac|q112_5|q112_5|CURRENCY|APAC: Europe - Funds of funds|15_12
q112_6_apac|_apac|q112_6|q112_6|CURRENCY|APAC: Europe - Non-listed debt products|15_13
q11ROW2_Total_apac|_apac|q11ROW2_hidden_APAC|q11ROW2_Total|CURRENCY|APAC: Europe - TOTAL|15_14
q113_1_apac|_apac|q113_1|q113_1|CURRENCY|APAC: North America - Non-listed/ commingled real estate funds/private REITs|15_15
q113_2_apac|_apac|q113_2|q113_2|CURRENCY|APAC: North America - Separate accounts investing directly into real estate|15_16
q113_3_apac|_apac|q113_3|q113_3|CURRENCY|APAC: North America - Separate accounts investing into indirect vehicles|15_17
q113_4_apac|_apac|q113_4|q113_4|CURRENCY|APAC: North America - Joint ventures and club deals|15_18
q113_5_apac|_apac|q113_5|q113_5|CURRENCY|APAC: North America - Funds of funds|15_19
q113_6_apac|_apac|q113_6|q113_6|CURRENCY|APAC: North America - Non-listed debt products|15_20
q11ROW3_Total_apac|_apac|q11ROW3_hidden_APAC|q11ROW3_Total|CURRENCY|APAC: North America - TOTAL|15_21
q114_1_apac|_apac|q114_1|q114_1|CURRENCY|APAC: South America - Non-listed/ commingled real estate funds/private REITs|15_22
q114_2_apac|_apac|q114_2|q114_2|CURRENCY|APAC: South America - Separate accounts investing directly into real estate|15_23
q114_3_apac|_apac|q114_3|q114_3|CURRENCY|APAC: South America - Separate accounts investing into indirect vehicles|15_24
q114_4_apac|_apac|q114_4|q114_4|CURRENCY|APAC: South America - Joint ventures and club deals|15_25
q114_5_apac|_apac|q114_5|q114_5|CURRENCY|APAC: South America - Funds of funds|15_26
q114_6_apac|_apac|q114_6|q114_6|CURRENCY|APAC: South America - Non-listed debt products|15_27
q11ROW4_Total_apac|_apac|q11ROW4_hidden_APAC|q11ROW4_Total|CURRENCY|APAC: South America - TOTAL|15_28
q115_1_apac|_apac|q115_1|q115_1|CURRENCY|APAC: Africa - Non-listed/ commingled real estate funds/private REITs|15_29
q115_2_apac|_apac|q115_2|q115_2|CURRENCY|APAC: Africa - Separate accounts investing directly into real estate|15_30
q115_3_apac|_apac|q115_3|q115_3|CURRENCY|APAC: Africa - Separate accounts investing into indirect vehicles|15_31
q115_4_apac|_apac|q115_4|q115_4|CURRENCY|APAC: Africa - Joint ventures and club deals|15_32
q115_5_apac|_apac|q115_5|q115_5|CURRENCY|APAC: Africa - Funds of funds|15_33
q115_6_apac|_apac|q115_6|q115_6|CURRENCY|APAC: Africa - Non-listed debt products|15_34
q11ROW5_Total_apac|_apac|q11ROW5_hidden_APAC|q11ROW5_Total|CURRENCY|APAC: Africa - TOTAL|15_35
q11COL1_Total_apac|_apac|q11COL1_hidden_APAC|q11COL1_Total|CURRENCY|APAC: TOTAL - Non-listed/ commingled real estate funds/private REITs|15_36
q11COL2_Total_apac|_apac|q11COL2_hidden_APAC|q11COL2_Total|CURRENCY|APAC: TOTAL - Separate accounts investing directly into real estate|15_37
q11COL3_Total_apac|_apac|q11COL3_hidden_APAC|q11COL3_Total|CURRENCY|APAC: TOTAL - Separate accounts investing into indirect vehicles|15_38
q11COL4_Total_apac|_apac|q11COL4_hidden_APAC|q11COL4_Total|CURRENCY|APAC: TOTAL - Joint ventures and club deals|15_39
q11COL5_Total_apac|_apac|q11COL5_hidden_APAC|q11COL5_Total|CURRENCY|APAC: TOTAL - Funds of funds|15_40
q11COL6_Total_apac|_apac|q11COL6_hidden_APAC|q11COL6_Total|CURRENCY|APAC: TOTAL - Non-listed debt products|15_41
q11GRANDTotal_apac|_apac|q11GRANDTotal_hidden_APAC|q11GRANDTotal|CURRENCY|APAC TOTAL Capital Raised in 2020 for your Asia Pacific strategy by investor domicile|15_42
q12_apac|_apac|q12|q12|SINGLE|For your Asia Pacific strategy*, for which sector-strategy did your company raise institutional capital for non-listed vehicles in 2020?|16
_apac|_apac||||For your Asia Pacific strategy*, how much institutional capital did your company raise for non-listed vehicles in 2020 by targeted multi-sector (million)?|17
q131_1_apac|_apac|q131_1|q131_1|CURRENCY|APAC: Main sectors - Non-listed/ commingled real estate funds/private REITs|17_1
q131_2_apac|_apac|q131_2|q131_2|CURRENCY|APAC: Main sectors - Separate accounts investing directly into real estate|17_2
q131_3_apac|_apac|q131_3|q131_3|CURRENCY|APAC: Main sectors - Separate accounts investing into indirect vehicles|17_3
q131_4_apac|_apac|q131_4|q131_4|CURRENCY|APAC: Main sectors - Joint ventures and club deals|17_4
q131_5_apac|_apac|q131_5|q131_5|CURRENCY|APAC: Main sectors - Funds of funds|17_5
q131_6_apac|_apac|q131_6|q131_6|CURRENCY|APAC: Main sectors - Non-listed debt products|17_6
q13ROW1_Total_apac|_apac|q13ROW1_Total|q13ROW1_Total|CURRENCY|APAC: TOTAL - Main sectors |17_7
q132_1_apac|_apac|q132_1|q132_1|CURRENCY|APAC:  Alternative sectors - Non-listed/ commingled real estate funds/private REITs|17_8
q132_2_apac|_apac|q132_2|q132_2|CURRENCY|APAC:  Alternative sectors - Separate accounts investing directly into real estate|17_9
q132_3_apac|_apac|q132_3|q132_3|CURRENCY|APAC:  Alternative sectors - Separate accounts investing into indirect vehicles|17_10
q132_4_apac|_apac|q132_4|q132_4|CURRENCY|APAC:  Alternative sectors - Joint ventures and club deals|17_11
q132_5_apac|_apac|q132_5|q132_5|CURRENCY|APAC:  Alternative sectors - Funds of funds|17_12
q132_6_apac|_apac|q132_6|q132_6|CURRENCY|APAC:  Alternative sectors - Non-listed debt products|17_13
q13ROW2_Total_apac|_apac|q13ROW2_Total|q13ROW2_Total|CURRENCY|APAC:  TOTAL - Alternative sectors|17_14
q13COL1_Total_apac|_apac|q13COL1_Total|q13COL1_Total|CURRENCY|APAC: TOTAL - Non-listed/ commingled real estate funds/private REITs|17_15
q13COL2_Total_apac|_apac|q13COL2_Total|q13COL2_Total|CURRENCY|APAC: TOTAL - Separate accounts investing directly into real estate|17_16
q13COL3_Total_apac|_apac|q13COL3_Total|q13COL3_Total|CURRENCY|APAC: TOTAL - Separate accounts investing into indirect vehicles|17_17
q13COL4_Total_apac|_apac|q13COL4_Total|q13COL4_Total|CURRENCY|APAC: TOTAL - Joint ventures and club deals|17_18
q13COL5_Total_apac|_apac|q13COL5_Total|q13COL5_Total|CURRENCY|APAC: TOTAL - Funds of funds|17_19
q13COL6_Total_apac|_apac|q13COL6_Total|q13COL6_Total|CURRENCY|APAC: TOTAL - Non-listed debt products|17_20
q13GRANDTotal_apac|_apac|q13GRANDTotal|q13GRANDTotal|CURRENCY|APAC TOTAL Raised by targeted multi-sector|17_21
_apac|_apac||||For your Asia Pacific strategy*, how much institutional capital did your company raise for non-listed vehicles in 2020 by targeted sector (million)?|18
q141_1_apac|_apac|q141_1|q141_1|CURRENCY|APAC: Office - Non-listed/ commingled real estate funds/private REITs|18_1
q141_2_apac|_apac|q141_2|q141_2|CURRENCY|APAC: Office - Separate accounts investing directly into real estate|18_2
q141_3_apac|_apac|q141_3|q141_3|CURRENCY|APAC: Office - Separate accounts investing into indirect vehicles|18_3
q141_4_apac|_apac|q141_4|q141_4|CURRENCY|APAC: Office - Joint ventures and club deals|18_4
q141_5_apac|_apac|q141_5|q141_5|CURRENCY|APAC: Office - Funds of funds|18_5
q141_6_apac|_apac|q141_6|q141_6|CURRENCY|APAC: Office - Non-listed debt products|18_6
q14ROW1_Total_apac|_apac|q14ROW1_Total|q14ROW1_Total|CURRENCY|APAC: TOTAL Office|18_7
q142_1_apac|_apac|q142_1|q142_1|CURRENCY|APAC: Retail - Non-listed/ commingled real estate funds/private REITs|18_8
q142_2_apac|_apac|q142_2|q142_2|CURRENCY|APAC: Retail - Separate accounts investing directly into real estate|18_9
q142_3_apac|_apac|q142_3|q142_3|CURRENCY|APAC: Retail - Separate accounts investing into indirect vehicles|18_10
q142_4_apac|_apac|q142_4|q142_4|CURRENCY|APAC: Retail - Joint ventures and club deals|18_11
q142_5_apac|_apac|q142_5|q142_5|CURRENCY|APAC: Retail - Funds of funds|18_12
q142_6_apac|_apac|q142_6|q142_6|CURRENCY|Non-listed debt products|18_13
q14ROW2_Total_apac|_apac|q14ROW2_Total|q14ROW2_Total|CURRENCY|APAC: TOTAL Retail|18_14
q143_1_apac|_apac|q143_1|q143_1|CURRENCY|APAC: Industrial / logistics - Non-listed/ commingled real estate funds/private REITs|18_15
q143_2_apac|_apac|q143_2|q143_2|CURRENCY|APAC: Industrial / logistics - Separate accounts investing directly into real estate|18_16
q143_3_apac|_apac|q143_3|q143_3|CURRENCY|APAC: Industrial / logistics - Separate accounts investing into indirect vehicles|18_17
q143_4_apac|_apac|q143_4|q143_4|CURRENCY|APAC: Industrial / logistics - Joint ventures and club deals|18_18
q143_5_apac|_apac|q143_5|q143_5|CURRENCY|APAC: Industrial / logistics - Funds of funds|18_19
q143_6_apac|_apac|q143_6|q143_6|CURRENCY|APAC: Industrial / logistics - Non-listed debt products|18_20
q14ROW3_Total_apac|_apac|q14ROW3_Total|q14ROW3_Total|CURRENCY|APAC: TOTAL Industrial / logistics|18_21
q144_1_apac|_apac|q144_1|q144_1|CURRENCY|APAC: Residential / multi-family/apartments - Non-listed/ commingled real estate funds/private REITs|18_22
q144_2_apac|_apac|q144_2|q144_2|CURRENCY|APAC: Residential / multi-family/apartments - Separate accounts investing directly into real estate|18_23
q144_3_apac|_apac|q144_3|q144_3|CURRENCY|APAC: Residential / multi-family/apartments - Separate accounts investing into indirect vehicles|18_24
q144_4_apac|_apac|q144_4|q144_4|CURRENCY|APAC: Residential / multi-family/apartments - Joint ventures and club deals|18_25
q144_5_apac|_apac|q144_5|q144_5|CURRENCY|APAC: Residential / multi-family/apartments - Funds of funds|18_26
q144_6_apac|_apac|q144_6|q144_6|CURRENCY|APAC: Residential / multi-family/apartments - Non-listed debt products|18_27
q14ROW4_Total_apac|_apac|q14ROW4_Total|q14ROW4_Total|CURRENCY|APAC: TOTAL Residential / multi-family/apartments|18_28
q145_1_apac|_apac|q145_1|q145_1|CURRENCY|APAC: Student housing - Non-listed/ commingled real estate funds/private REITs|18_29
q145_2_apac|_apac|q145_2|q145_2|CURRENCY|APAC: Student housing - Separate accounts investing directly into real estate|18_30
q145_3_apac|_apac|q145_3|q145_3|CURRENCY|APAC: Student housing - Separate accounts investing into indirect vehicles|18_31
q145_4_apac|_apac|q145_4|q145_4|CURRENCY|APAC: Student housing - Joint ventures and club deals|18_32
q145_5_apac|_apac|q145_5|q145_5|CURRENCY|APAC: Student housing - Funds of funds|18_33
q145_6_apac|_apac|q145_6|q145_6|CURRENCY|APAC: Student housing - Non-listed debt products|18_34
q14ROW5_Total_apac|_apac|q14ROW5_Total|q14ROW5_Total|CURRENCY|APAC: TOTAL Student housing |18_35
q146_1_apac|_apac|q146_1|q146_1|CURRENCY|APAC: Senior living / aged care / health care - Non-listed/ commingled real estate funds/private REITs|18_36
q146_2_apac|_apac|q146_2|q146_2|CURRENCY|APAC: Senior living / aged care / health care - Separate accounts investing directly into real estate|18_37
q146_3_apac|_apac|q146_3|q146_3|CURRENCY|APAC: Senior living / aged care / health care - Separate accounts investing into indirect vehicles|18_38
q146_4_apac|_apac|q146_4|q146_4|CURRENCY|APAC: Senior living / aged care / health care - Joint ventures and club deals|18_39
q146_5_apac|_apac|q146_5|q146_5|CURRENCY|APAC: Senior living / aged care / health care - Funds of funds|18_40
q146_6_apac|_apac|q146_6|q146_6|CURRENCY|APAC: Senior living / aged care / health care - Non-listed debt products|18_41
q14ROW6_Total_apac|_apac|q14ROW6_Total|q14ROW6_Total|CURRENCY|APAC: TOTAL Senior living / aged care / health care|18_42
q147_1_apac|_apac|q147_1|q147_1|CURRENCY|APAC: Hotel / leisure - Non-listed/ commingled real estate funds/private REITs|18_43
q147_2_apac|_apac|q147_2|q147_2|CURRENCY|APAC: Hotel / leisure - Separate accounts investing directly into real estate|18_44
q147_3_apac|_apac|q147_3|q147_3|CURRENCY|APAC: Hotel / leisure - Separate accounts investing into indirect vehicles|18_45
q147_4_apac|_apac|q147_4|q147_4|CURRENCY|APAC: Hotel / leisure - Joint ventures and club deals|18_46
q147_5_apac|_apac|q147_5|q147_5|CURRENCY|APAC: Hotel / leisure - Funds of funds|18_47
q147_6_apac|_apac|q147_6|q147_6|CURRENCY|APAC: Hotel / leisure - Non-listed debt products|18_48
q14ROW7_Total_apac|_apac|q14ROW7_Total|q14ROW7_Total|CURRENCY|APAC: TOTAL Hotel / leisure|18_49
q148_1_apac|_apac|q148_1|q148_1|CURRENCY|APAC: Other (incl land, parking, self storage) - Non-listed/ commingled real estate funds/private REITs|18_50
q148_2_apac|_apac|q148_2|q148_2|CURRENCY|APAC: Other (incl land, parking, self storage) - Separate accounts investing directly into real estate|18_51
q148_3_apac|_apac|q148_3|q148_3|CURRENCY|APAC: Other (incl land, parking, self storage) - Separate accounts investing into indirect vehicles|18_52
q148_4_apac|_apac|q148_4|q148_4|CURRENCY|APAC: Other (incl land, parking, self storage) - Joint ventures and club deals|18_53
q148_5_apac|_apac|q148_5|q148_5|CURRENCY|APAC: Other (incl land, parking, self storage) - Funds of funds|18_54
q148_6_apac|_apac|q148_6|q148_6|CURRENCY|APAC: Other (incl land, parking, self storage) - Non-listed debt products|18_55
q14ROW8_Total_apac|_apac|q14ROW8_Total|q14ROW8_Total|CURRENCY|APAC: TOTAL Other (incl land, parking, self storage)|18_56
q14COL1_Total_apac|_apac|q14COL1_Total|q14COL1_Total|CURRENCY|APAC: TOTAL Non-listed/ commingled real estate funds/private REITs|18_57
q14COL2_Total_apac|_apac|q14COL2_Total|q14COL2_Total|CURRENCY|APAC: TOTAL Separate accounts investing directly into real estate|18_58
